Taxon,counts,CommonName,tms
Cordylus tropidosternum,4,East African spiny-tailed lizard,"East African spiny-tailed lizard,Cordylus,Giant girdled lizard,Limpopo girdled lizard,Cordylus beraduccii,Cordylidae,Ukinga girdled lizard,Cordylus phonolithos,Cordylus marunguensis,Cordylus namakuiyus"
Crocodylus novaeguineae,4,New Guinea crocodile,"New Guinea crocodile,Crocodylus,Crocodile,Saltwater crocodile,Nile crocodile,American crocodile,Crocodylus halli,Philippine crocodile,Mecistops,West African crocodile"
Phyllobates bicolor,4,Phyllobates bicolor,"Phyllobates bicolor,Phyllobates,P. bicolor,Frog,Toxic bird,History of dendrobatid frogkeeping,Batrachotoxin,Golfodulcean poison frog,Phyllobates aurotaenia,Fauna of Colombia"
Phyllobates vittatus,4,Phyllobates,"Phyllobates,Golfodulcean poison frog,Lovely poison frog,Dendrobatinae,List of endangered amphibians,Isthmian–Pacific moist forests,IUCN Red List endangered species (Animalia),List of amphibians of Costa Rica,IUCN Red List near threatened species (Animalia),List of least concern amphibians"
Tubastraea spp.,4,Stony corals,"List of marine cnidarians of South Africa,Aliwal Shoal"
Turbinaria peltata,4,Turbinaria peltata,"Turbinaria peltata,Turbinaria (coral),List of endangered species in Pakistan,Limu (algae),IUCN Red List vulnerable species (Animalia),List of corals of the Houtman Abrolhos,List of vulnerable invertebrates,List of marine aquarium plant species,List of algae of the Houtman Abrolhos,ISimangaliso Marine Protected Area"
Naja naja,4,Naja,"Naja,Indian cobra,Robert Del Naja,List of dangerous snakes,Monocled cobra,Massive Attack,Black-necked spitting cobra,Egyptian cobra,Caspian cobra,Cape cobra"
Glyptemys insculpta,4,Wood turtle,"Wood turtle,Glyptemys,Pig-nosed turtle,Bog turtle,Clemmys,Potomac River,List of reptiles of West Virginia,List of reptiles of Minnesota,List of reptiles of Canada,List of endangered species in North America"
Goniastrea spp.,4,Stony corals,"List of threatened species of the Philippines,List of marine cnidarians of South Africa,Coral reefs of Kiribati"
Lynx canadensis,4,Canada lynx,"Canada lynx,Lynx,Bobcat,Felid hybrid,American lynx,Felinae,Canadensis,List of mammals of Grand Teton National Park,List of mammals of British Columbia,List of mammals of Colorado"
Phelsuma laticauda,4,Gold dust day gecko,"Gold dust day gecko,Phelsuma,Phelsuma laticauda angularis,List of indigenous geckos of Madagascar,Gecko,List of animals displaying homosexual behavior,Homosexual behavior in animals,Phelsuma kely,List of animal species introduced to the Hawaiian Islands,Wildlife of Réunion"
Phelsuma madagascariensis,4,Phelsuma madagascariensis,"Phelsuma madagascariensis,Phelsuma,Madagascar day gecko,Phelsuma grandis,Koch's giant day gecko,List of indigenous geckos of Madagascar,Phelsuma parkeri,Boehme's giant day gecko,Gecko,Phelsuma kely"
Cuora flavomarginata,4,Chinese box turtle,"Chinese box turtle,Asian box turtle,Box turtle,Indochinese box turtle,Amboina box turtle,Ryukyu black-breasted leaf turtle,Polnareff turtle,List of invasive species in Japan,List of reptiles of China,List of endangered reptiles"
Cuora mccordi,4,McCord's box turtle,"McCord's box turtle,Asian box turtle,Amboina box turtle,Polnareff turtle,List of critically endangered reptiles,List of reptiles of China,Vietnamese three-striped box turtle,IUCN Red List critically endangered species (Animalia),List of endangered and protected species of China,List of species protected by CITES Appendix II"
Heloderma horridum,4,Mexican beaded lizard,"Mexican beaded lizard,Gila monster,Heloderma,Heloderma charlesbogerti,Heloderma exasperatum,Anguimorpha,Helodermatidae,List of venomous animals,Northern short-tailed shrew,Helothermine"
Isurus paucus,4,Isurus,"Isurus,Longfin mako shark,Shortfin mako shark,Lamnidae,Lamniformes,Great white shark,List of threatened sharks,List of sharks,Bigeye thresher,List of common commercial fish of Sri Lanka"
Hydnophora spp.,4,Stony corals,"List of marine cnidarians of South Africa,Coral reefs of Kiribati,Phoenix Islands Protected Area,List of threatened species of the Philippines,List of the Mesozoic life of Texas"
Merulina ampliata,4,Merulina,"Merulina,Wakatobi National Park,List of corals of the Houtman Abrolhos,List of least concern invertebrates"
Acanthastrea spp.,4,Stony corals,"List of threatened species of the Philippines,List of marine cnidarians of South Africa"
Ornithoptera rothschildi,4,Rothschild's birdwing,"Rothschild's birdwing,Ornithoptera,Ornithoptera akakeae,Birdwing,Queen Alexandra's birdwing,Ornithoptera paradisea,Ornithoptera richmondia,Ornithoptera goliath,Ornithoptera euphorion,Troides amphrysus"
Seriatopora spp.,4,Seriatopora,"Seriatopora,List of marine cnidarians of South Africa"
Alveopora spp.,4,Stony corals,"List of threatened species of the Philippines,Goniopora stokesi,List of marine cnidarians of South Africa,Coral reefs of Kiribati,2020 in paleontology"
Cyanoramphus auriceps,4,Yellow-crowned parakeet,"Yellow-crowned parakeet,Kākāriki,Cyanoramphus,Chatham parakeet,Malherbe's parakeet,Victoria Forest Park,Platycercinae,Red-crowned parakeet,Parrots of New Zealand,Broad-tailed parrot"
Orthopsittaca manilata,4,Red-bellied macaw,"Red-bellied macaw,Macaw,List of macaws,Spix's macaw,Mini-macaw,Tapiche Reserve"
Psephotus varius,4,Mulga parrot,"Mulga parrot,List of birds of Australia,Mistletoebird,Platycercinae,List of birds of Queensland,List of birds of Western Australia,List of birds of New South Wales,List of birds of South Australia,List of birds of Victoria,List of birds of the Northern Territory"
Psittacula alexandri,4,Red-breasted parakeet,"Red-breasted parakeet,Psittacula,Long-tailed parakeet,Psittaculinae,Psittaculini,List of birds of China,Birds of Eden,List of birds of Japan,List of birds of Indonesia,List of birds of Malaysia"
Python anchietae,4,Python anchietae,"Python anchietae,Python (genus),List of pythonid species and subspecies,List of reptiles of Africa,José Alberto de Oliveira Anchieta,List of snakes by scientific name,List of least concern reptiles,List of reptiles of the Democratic Republic of the Congo,Giant golden-crowned flying fox,Grey-headed flying fox"
Ramphastos toco,4,Toco toucan,"Toco toucan,Ramphastos,Toucan,List of toucans,Yellow-throated toucan,Chestnut-mandibled toucan,White-throated toucan,List of largest birds,Toco toucan beak,Columbus Zoo and Aquarium"
Sphyrna lewini,4,Scalloped hammerhead,"Scalloped hammerhead,Sphyrna,Hammerhead shark,Great hammerhead,Carolina hammerhead,Shark net,Bonnethead,List of threatened sharks,Smooth hammerhead,Smalleye hammerhead"
Brachypelma emilia,4,Brachypelma emilia,"Brachypelma emilia,Brachypelma,List of Theraphosidae species,Avicularia,Euathlus"
Trachyphyllia geoffroyi,4,Open brain coral,"Open brain coral,Kaede (protein),List of marine aquarium invertebrate species,Photoactivatable fluorescent protein,List of the Cenozoic life of Florida,IUCN Red List near threatened species (Animalia),Eos (protein),List of near threatened invertebrates,List of the Cenozoic life of Alabama"
Mauremys sinensis,4,Chinese stripe-necked turtle,"Chinese stripe-necked turtle,Mauremys,Chinese pond turtle,Chinese softshell turtle,Mauremys glyphistoma,List of species protected by CITES Appendix III,List of reptiles of China,Philippen's striped turtle,List of endangered reptiles,List of reptiles of Singapore"
Pavo cristatus,4,Indian peafowl,"Indian peafowl,Pavo (bird),Peafowl,Leucism,National symbols of India,List of national animals,Telangana,Green peafowl,Galliformes,Eastern Ghats"
Potamotrygon schroederi,4,Potamotrygon,"Potamotrygon,Potamotrygon tigrina,Potamotrygonidae,Potamotrygon falkneri,List of species protected by CITES Appendix III,List of cartilaginous fish,List of data deficient fishes,IUCN Red List data deficient species (Chordata),List of least concern fishes"
Physignathus cocincinus,4,Chinese water dragon,"Chinese water dragon,Water dragon,List of largest extant lizards,Amphibolurinae,Wildlife of Vietnam,List of reptiles of China,Tropicarium Kolmården,Cát Tiên National Park,Wildlife of China,List of reptiles of Thailand"
Addax nasomaculatus,3,Addax,"Addax,Grazing antelope,Yotvata Hai-Bar Nature Reserve,Bovidae,Bou-Hedma National Park,Aïr and Ténéré Addax Sanctuary,List of even-toed ungulates by population,Qattara Depression,Pygarg,Bluebuck"
Cacatua sulphurea,3,Yellow-crested cockatoo,"Yellow-crested cockatoo,Cacatua,Citron-crested cockatoo,Cockatoo,Cacatua (subgenus),Komodo National Park,Talking bird,Indianapolis Zoo,List of Psittaciformes by population,Masakambing Island"
Cercopithecus diana,3,Diana monkey,"Diana monkey,Guenon,Roloway monkey,List of primates of Africa,List of primates,Golden monkey,List of Old World monkey species,Crowned eagle,Bushmeat,De Brazza's monkey"
Neofelis nebulosa,3,Clouded leopard,"Clouded leopard,Neofelis,Formosan clouded leopard,Sunda clouded leopard,List of largest cats,Cheetah reintroduction in India,Asiatic lion,List of Indian state animals,Sikkim,Malay Peninsula"
Eulemur rufus,3,Red lemur,"Red lemur,Red-fronted lemur,Lemuridae,Common brown lemur,True lemur,List of primates,List of lemur species,Black lemur,White-headed lemur,List of primates of Africa"
Varecia variegata,3,Black-and-white ruffed lemur,"Black-and-white ruffed lemur,Ruffed lemur,Red ruffed lemur,Lemur,List of lemur species,Dracaena reflexa,Lemuridae,List of mammals of Madagascar,Ring-tailed lemur,Primate"
Amazona oratrix,3,Yellow-headed amazon,"Yellow-headed amazon,Tres Marías amazon,Yellow-crowned amazon,List of amazon parrots,Amazon parrot,Talking bird,List of Psittaciformes by population,List of species protected by CITES Appendix I,Androglossini,List of birds of Jamaica"
Ara hybrid,3,Macaw,"Macaw,Ara (bird),Catalina macaw,Hybrid macaw,Red-and-green macaw,Scarlet macaw,Military macaw,Hybrid name,Blue-and-yellow macaw,Blue-throated macaw"
Ara militaris,3,Military macaw,"Military macaw,Macaw,Ara (bird),List of macaws,Cuban macaw,Oaxaca,Sebastiania pavoniana,Arini (tribe),List of species protected by CITES Appendix I,Great green macaw"
Struthio camelus,3,Common ostrich,"Common ostrich,Ostrich,North African ostrich,Somali ostrich,Arabian ostrich,South African ostrich,Masai ostrich,List of largest birds,Struthionidae,Greater rhea"
Acipenser gueldenstaedtii x baerii,3,Sturgeon,"Sturgeon,White sturgeon,Dabry's sturgeon,Lake sturgeon,Atlantic sturgeon,Adriatic sturgeon,Green sturgeon,Beluga (sturgeon),Huso,Chinese paddlefish"
Uromastyx nigriventris,3,Uromastyx nigriventris,"Uromastyx nigriventris,Uromastyx,Assiniboine Park Zoo,List of least concern reptiles"
Uromastyx ocellata,3,Uromastyx ocellata,"Uromastyx ocellata,Uromastyx,Uromastycinae,List of reptiles of Egypt,List of least concern reptiles,List of reptiles of Sudan,List of vulnerable reptiles,List of near threatened reptiles,IUCN Red List near threatened species (Animalia),IUCN Red List vulnerable species (Animalia)"
Pavona spp.,3,St. Brandon,"St. Brandon,Mascarene Islands,List of marine cnidarians of South Africa,Coral reefs of Kiribati"
Arapaima gigas,3,Arapaima gigas,"Arapaima gigas,Arapaima,Arapaiminae,A. gigas,Osteoglossiformes,Amazon basin,Osteichthyes,Bouligand structure,Crocodilia,Osteoglossomorpha"
Candoia aspera,3,Candoia aspera,"Candoia aspera,Candoia,List of boine species and subspecies,List of snakes by scientific name,Micropechis"
Eunectes notaeus,3,Yellow anaconda,"Yellow anaconda,Eunectes,Eunectes beniensis,Anaconda,List of largest snakes,Pantanal,List of boine species and subspecies,List of invasive species in Florida,List of reptiles of Brazil,Jaipur Zoo"
Ovis polii,3,Marco Polo sheep,"Marco Polo sheep,Argali,Caprinae,Taxkorgan Nature Reserve,Wildlife of Afghanistan,Karimabad, Gilgit-Baltistan,Environmental issues in Afghanistan,List of bovids,List of sequenced animal genomes,Khunjerab National Park"
Cacatua alba,3,White cockatoo,"White cockatoo,Cacatua,Cacatua (subgenus),Cockatoo,List of domesticated animals,Birds of Eden,Cacatuini,Columbus Zoo and Aquarium,List of Psittaciformes by population,Haemoproteus"
Vulpes zerda,3,Fennec fox,"Fennec fox,Vulpes,Fox,Vulpini,Caninae,Arctic fox,List of national animals,Red fox,Vulpes riffautae,Estrous cycle"
Euphyllia cristata,3,Euphyllia cristata,"Euphyllia cristata,Euphyllia,Grape coral,Euphylliidae,List of corals of the Houtman Abrolhos,List of vulnerable invertebrates,IUCN Red List vulnerable species (Animalia),IUCN Red List near threatened species (Animalia)"
Euphyllia paraancora,3,Euphyllia,"Euphyllia,Euphylliidae,IUCN Red List vulnerable species (Animalia),List of vulnerable invertebrates"
Physogyra lichtensteini,3,Physogyra,"Physogyra,List of endangered species in Pakistan,Hawksbill sea turtle,Marine wildlife of Baa Atoll,IUCN Red List vulnerable species (Animalia),List of vulnerable invertebrates"
Cercocebus atys,3,Sooty mangabey,"Sooty mangabey,White-eyelid mangabey,History of HIV/AIDS,HIV,Subtypes of HIV,The World's 25 Most Endangered Primates,HIV/AIDS,Bushmeat,List of Old World monkey species,List of primates"
Papio hamadryas,3,Hamadryas baboon,"Hamadryas baboon,Baboon,Guinea baboon,Chacma baboon,Olive baboon,Penis,Hamadryas,Mirror test,Indian Ocean,Haplorhini"
Chelodina mccordi,3,Roti Island snake-necked turtle,"Roti Island snake-necked turtle,Chelodina,Chelodina expansa,Chelodina gunaleni,Pleurodira,Oblong turtle,Chelodina canni,Chelodina kurrichalpongo,Eastern long-necked turtle,Chelidae"
Ptyas mucosus,3,Ptyas mucosa,"Ptyas mucosa,Banded krait,Nagarhole National Park,Basti district,List of reptiles of Pakistan,Wildlife of Karnataka,Snake scale,Javan spitting cobra,Gautala Autramghat Sanctuary,Yellow-billed babbler"
Oophaga lehmanni,3,Lehmann's poison frog,"Lehmann's poison frog,Oophaga,Oophaga anchicayensis,Farallones de Cali,List of critically endangered amphibians,Biodiversity of Colombia,IUCN Red List critically endangered species (Animalia),Chocó–Darién moist forests,Dendrobatinae,Federico Carlos Lehmann"
Clemmys guttata,3,Spotted turtle,"Spotted turtle,Clemmys,Wood turtle,Bog turtle,Potomac River,Mer Bleue Bog,St. Joseph River (Lake Michigan),List of reptiles of West Virginia,Columbus Zoo and Aquarium,List of reptiles of Canada"
Falco biarmicus,3,Lanner falcon,"Lanner falcon,Peregrine falcon,Falcon,Hierofalcon,Gyrfalcon,Falconidae,Saker falcon,Western jackdaw,Tigray Region,Eurasian hobby"
Cyphastrea spp.,3,Stony corals,"List of marine cnidarians of South Africa,Coral reefs of Kiribati,List of threatened species of the Philippines,2014 in paleontology"
Echinopora spp.,3,Polypore,"Polypore,List of marine cnidarians of South Africa,Coral reefs of Kiribati,List of threatened species of the Philippines"
Montastrea spp.,3,Hans Lollik Island,"Hans Lollik Island,2014 in paleontology"
Felis margarita,3,Sand cat,"Sand cat,Felis margarita thinobia,Felis margarita margarita,Felis,Cat,Jean Auguste Margueritte,Margarita (disambiguation),African wildcat,Felid hybrid,Felinae"
Heliofungia actiniformis,3,Heliofungia actiniformis,"Heliofungia actiniformis,Wrasse,Heliofungia,Gobiidae,Fungiidae,Cheek-lined wrasse,Palaemonidae,Thor amboinensis,Cuapetes lacertae,Diana's hogfish"
Naultinus grayii,3,Northland green gecko,"Northland green gecko,Naultinus,List of geckos of New Zealand,John Edward Gray,Northland Region,List of near threatened reptiles"
Phelsuma guimbeaui,3,Mauritius lowland forest day gecko,"Mauritius lowland forest day gecko,Phelsuma,Mauritius upland forest day gecko,List of animal species introduced to the Hawaiian Islands,List of reptiles of North America,List of introduced species,Mare aux Songes"
Cuora trifasciata,3,Golden coin turtle,"Golden coin turtle,Guilinggao,Asian box turtle,Vietnamese three-striped box turtle,Cuora serrata,Yellow pond turtle,Amboina box turtle,Fujian pond turtle,Chinese false-eyed turtle,List of domesticated animals"
Glaucostegus cemiculus,3,Blackchin guitarfish,"Blackchin guitarfish,Glaucostegus,List of critically endangered fishes,List of endangered fishes,List of cartilaginous fish,IUCN Red List endangered species (Animalia),List of fish of the Mediterranean Sea,List of threatened rays"
Iguana delicatissima,3,Lesser Antillean iguana,"Lesser Antillean iguana,Iguana,Green iguana,List of largest extant lizards,Sint Eustatius,West Indian iguana,Dominica,La Désirade,La Désirade National Nature Reserve,Introduced species"
Dyscophus antongilii,3,Dyscophus antongilii,"Dyscophus antongilii,Tomato frog,Dyscophus guineti,List of species protected by CITES Appendix II,Peyrieras Reptile Reserve,List of amphibians of Madagascar,List of near threatened amphibians,IUCN Red List near threatened species (Animalia)"
Blastomussa spp.,3,Stony corals,List of marine cnidarians of South Africa
Cynarina lacrymalis,3,Cynarina lacrymalis,"Cynarina lacrymalis,Cynarina,Button coral,List of near threatened invertebrates,Scolymia,IUCN Red List near threatened species (Animalia)"
Scolymia spp.,3,Stony corals,2019 in paleontology
Arctocephalus australis,3,South American fur seal,"South American fur seal,Arctocephalus,Bulbus glandis,Arctocephalus forsteri,List of carnivorans by population,Antarctic fur seal,List of carnivorans,Guadalupe fur seal,List of pinnipeds,Brown fur seal"
Ornithoptera aesacus,3,Ornithoptera aesacus,"Ornithoptera aesacus,Ornithoptera,Ornithoptera priamus,Queen Alexandra's birdwing,Ornithoptera goliath,Ornithoptera paradisea,Ornithoptera richmondia,Ornithoptera euphorion,Obi (island),Troides amphrysus"
Pectinia spp.,3,Pectiniidae,"Pectiniidae,List of threatened species of the Philippines,List of marine cnidarians of South Africa"
Stylophora spp.,3,Callistoctopus macropus,"Callistoctopus macropus,Microbiome,Synanceia nana,2022 in paleontology,Trapezia rufopunctata,Aliwal Shoal,List of marine cnidarians of South Africa,List of sequenced animal genomes,Marine food web,Marine coastal ecosystem"
Goniopora lobata,3,Goniopora,"Goniopora,Goniopora columna,List of endangered species in Pakistan,IUCN Red List near threatened species (Animalia),List of near threatened invertebrates,List of marine cnidarians of South Africa,Marine wildlife of Baa Atoll,List of corals of the Houtman Abrolhos"
Goniopora stokesi,3,Goniopora stokesi,"Goniopora stokesi,Goniopora,List of endangered species in Pakistan,Goniopora columna,IUCN Red List near threatened species (Animalia),List of near threatened invertebrates,List of corals of the Houtman Abrolhos,Charles Stokes (collector),List of the prehistoric life of Florida,List of the Cenozoic life of Florida"
Amazona albifrons,3,White-fronted amazon,"White-fronted amazon,List of amazon parrots,Amazon parrot,Puerto Rican amazon,Talking bird,Androglossini,List of Psittaciformes by population,Yucatán dry forests,List of birds of Costa Rica,List of birds of North America"
Amazona amazonica,3,Orange-winged amazon,"Orange-winged amazon,List of amazon parrots,Amazon parrot,Talking bird,Parrot,Feather-plucking,Feral parrot,Guaro,Nariva Swamp,Androglossini"
Amazona autumnalis,3,Red-lored amazon,"Red-lored amazon,Lilacine amazon,Diademed amazon,List of amazon parrots,Amazon parrot,Feral parrot,List of Psittaciformes by population,Androglossini,List of birds of South America,List of birds of Costa Rica"
Amazona farinosa,3,Southern mealy amazon,"Southern mealy amazon,Northern mealy amazon,Amazon parrot,List of amazon parrots,Talking bird,Mealy amazon,List of Psittaciformes by population,List of birds of South America,Androglossini,Tapiche Reserve"
Ara severus,3,Chestnut-fronted macaw,"Chestnut-fronted macaw,Arch of Septimius Severus,Cuban macaw,List of birds of Brazil,Ara Pacis,List of birds of Colombia,List of birds of Guyana,List of birds of South America,St. Croix macaw,List of birds of Panama"
Neophema pulchella,3,Turquoise parrot,"Turquoise parrot,Neophema,Platycercinae,List of domesticated animals,Pezoporini,Blue-winged parrot,Western Sydney Regional Park,Scarlet-chested parrot,Black falcon,List of birds of Australia"
Pionus menstruus,3,Blue-headed parrot,"Blue-headed parrot,Pionus,Birds of Eden,List of birds of South America,List of birds of Costa Rica,Androglossini,List of birds of Colombia,List of birds of Brazil,White-crowned parrot,List of birds of Trinidad and Tobago"
Poicephalus senegalus,3,Senegal parrot,"Senegal parrot,Poicephalus,P. senegalus,Parrot,Beak,List of birds of the Gambia,Pendjari National Park,Waza National Park,Birds of Eden,Psittacinae"
Primolius auricollis,3,Golden-collared macaw,"Golden-collared macaw,Primolius,Macaw,List of macaws,Mini-macaw,Arini (tribe),List of birds of Brazil,List of birds of South America,List of birds of Argentina,List of birds of Bolivia"
Pyrrhura perlata,3,Crimson-bellied parakeet,"Crimson-bellied parakeet,Pyrrhura,Pearly parakeet,Arini (tribe),Feather-plucking,List of birds of South America,List of birds of Brazil,List of birds of Bolivia,IUCN Red List vulnerable species (Animalia),Juruena National Park"
Apodora papuana,3,Apodora,"Apodora,List of largest snakes,List of pythonid species and subspecies"
Leiopython albertisii,3,D'Albertis python,"D'Albertis python,Leiopython,Leiopython fredparkeri,Leiopython biakensis,Luigi D'Albertis,White-lipped python,List of least concern reptiles,List of pythonid species and subspecies,List of animals referred to as white-lipped"
Morelia amethistina,3,Amethystine python,"Amethystine python,Australian scrub python,List of largest snakes,List of pythonid species and subspecies,Simalia,Snakes of Australia,Aglaomorpha (plant),Simalia tracyae,Bluff Downs giant python,New Guinea mangroves"
Morelia bredli,3,Morelia bredli,"Morelia bredli,List of pythonid species and subspecies,Morelia (snake),Snakes of Australia,Rob Bredl,List of snakes by scientific name,List of domesticated animals"
Python molurus,3,Indian python,"Indian python,Burmese python,Python (genus),Pythonidae,Burmese pythons in Florida,Reticulated python,List of pythonid species and subspecies,Central African rock python,Dwarf Burmese python,List of largest snakes"
Pteroglossus viridis,3,Green aracari,"Green aracari,Toucan,Aracari,Ramphastos,Saffron toucanet,Oenocarpus,Cecropia,List of species protected by CITES Appendix II,List of birds of Brazil,List of birds of South America"
Ramphastos tucanus,3,Ramphastos,"Ramphastos,White-throated toucan,Toucan,List of toucans,Channel-billed toucan,List of species protected by CITES Appendix II,Fauna of Colombia,List of birds of South America,List of birds of Brazil,List of birds of Ecuador"
Ramphastos vitellinus,3,Channel-billed toucan,"Channel-billed toucan,Ramphastos,List of toucans,Citron-throated toucan,Toucan,Gaziantep,Syagrus romanzoffiana,Fauna of Colombia,List of species protected by CITES Appendix II,List of birds of South America"
Rhynchobatus spp.,3,Piney Point Formation,"Piney Point Formation,Fauna of Madagascar,List of virus species"
Sphyrna mokarran,3,Great hammerhead,"Great hammerhead,Sphyrna,Hammerhead shark,Smooth hammerhead,Winghead shark,Shark net,List of endangered species in Vietnam,Bonnethead,Tiger shark,List of largest fish"
Hippocampus barbouri,3,Barbour's seahorse,"Barbour's seahorse,Seahorse,Mesonia hippocampi,List of threatened species of the Philippines,List of vulnerable fishes,IUCN Red List vulnerable species (Animalia),Columbus Zoo and Aquarium,List of data deficient fishes,IUCN Red List data deficient species (Chordata),IUCN Red List endangered species (Animalia)"
Chelonoidis denticulatus,3,Yellow-footed tortoise,"Yellow-footed tortoise,Chelonoidis,Tortoise,Red-footed tortoise,Jaguar,Giant tortoise (disambiguation),Biota of Trinidad and Tobago,List of vulnerable reptiles,IUCN Red List vulnerable species (Animalia),Solitudo"
Manouria emys,3,Asian forest tortoise,"Asian forest tortoise,Manouria,Impressed tortoise,Tortoise,Yellow-footed tortoise,Living fossil,European pond turtle,Emys,Blanding's turtle,List of endangered animals in India"
Testudo graeca,3,Greek tortoise,"Greek tortoise,Testudo (genus),Hermann's tortoise,Tunisian tortoise,Marginated tortoise,Jackson ratio,Armenian tortoise,Tortoise,List of reptiles of Greece,Caspian Sea"
Brachypelma albopilosum,3,Tliltocatl albopilosus,"Tliltocatl albopilosus,List of Theraphosidae species"
Brachypelma boehmei,3,Brachypelma boehmei,"Brachypelma boehmei,Brachypelma,Brachypelma klaasi,Tliltocatl,Brachypelma baumgarteni,List of Theraphosidae species"
Poecilotheria formosa,3,Poecilotheria formosa,"Poecilotheria formosa,Poecilotheria,Poecilotheria tigrinawesseli,List of Theraphosidae species,IUCN Red List endangered species (Animalia),List of endangered arthropods,List of endangered invertebrates,List of spiders of India,List of data deficient invertebrates,List of least concern arthropods"
Poecilotheria hanumavilasumica,3,Poecilotheria hanumavilasumica,"Poecilotheria hanumavilasumica,Poecilotheria,List of Theraphosidae species,Mannar District,List of endangered animals in India,List of tarantulas of Sri Lanka,IUCN Red List critically endangered species (Animalia),List of critically endangered invertebrates,List of spiders of Sri Lanka,List of critically endangered arthropods"
Poecilotheria miranda,3,Poecilotheria miranda,"Poecilotheria miranda,Poecilotheria,Poecilotheria tigrinawesseli,List of Theraphosidae species,List of endangered arthropods,List of endangered invertebrates,IUCN Red List endangered species (Animalia),List of spiders of India,Pathophysiology of spider bites,List of least concern arthropods"
Poecilotheria rufilata,3,Poecilotheria rufilata,"Poecilotheria rufilata,Poecilotheria,Poecilotheria ornata,Poecilotheria tigrinawesseli,List of Theraphosidae species,List of endangered arthropods,IUCN Red List endangered species (Animalia),List of endangered invertebrates,List of spiders of India"
Poecilotheria tigrinawesseli,3,Poecilotheria tigrinawesseli,"Poecilotheria tigrinawesseli,Poecilotheria,List of Theraphosidae species,List of data deficient invertebrates,List of spiders of India,List of data deficient arthropods"
Ursus maritimus,3,Polar bear,"Polar bear,Ursus maritimus tyrannus,Grizzly–polar bear hybrid,Ursus (mammal),Brown bear,Kodiak bear,Marine mammal,Pagophily,List of heaviest land mammals,Southern elephant seal"
Varanus glauerti,3,Kimberley rock monitor,"Kimberley rock monitor,Monitor lizard,Varanus timorensis,Komodo dragon,Bengal monitor,Megalania,Varanus salvadorii,Desert monitor,Asian water monitor,Perentie"
Varanus pilbarensis,3,Pilbara rock monitor,"Pilbara rock monitor,Monitor lizard,Southern Pilbara rock goanna,Varanus (Odatria),List of reptiles of Western Australia,Pilbara shrublands,List of least concern reptiles"
Varanus rudicollis,3,Roughneck monitor,"Roughneck monitor,Monitor lizard,Komodo dragon,List of largest extant lizards,Megalania,Bengal monitor,Varanus salvadorii,Desert monitor,Asian water monitor,Rock monitor"
Corallium japonicum,3,List of species protected by CITES Appendix III,"List of species protected by CITES Appendix III,Coralliidae"
Graptemys flavimaculata,3,Yellow-blotched map turtle,"Yellow-blotched map turtle,Graptemys,Pascagoula map turtle,Columbus Zoo and Aquarium,List of reptiles of North America,List of endangered species in North America,Deirochelyinae,List of vulnerable reptiles,List of threatened reptiles and amphibians of the United States,IUCN Red List vulnerable species (Animalia)"
Mauremys reevesii,3,Chinese pond turtle,"Chinese pond turtle,Mauremys,Mauremys pritchardi,John Reeves (naturalist),Japanese pond turtle,Turtle,List of domesticated animals,Pond turtle,List of endangered reptiles,List of species protected by CITES Appendix III"
Anolis barbatus,3,Anolis barbatus,"Anolis barbatus,List of Anolis lizards,List of amphibians and reptiles of Cuba,Dactyloidae,List of Latin and Greek words commonly used in systematic names,IUCN Red List critically endangered species (Animalia),List of introduced species,List of sequenced animal genomes,IUCN Red List vulnerable species (Animalia)"
Anolis guamuhaya,3,Anolis guamuhaya,"Anolis guamuhaya,List of Anolis lizards,Anolis delafuentei,List of amphibians and reptiles of Cuba"
Anolis porcus,3,Anolis porcus,"Anolis porcus,List of Anolis lizards,List of amphibians and reptiles of Cuba,List of the Cenozoic life of Florida"
Hypancistrus zebra,3,Zebra pleco,"Zebra pleco,Hypancistrus,List of freshwater aquarium fish species,Belo Monte Dam,L-number,Han Nijssen,List of species protected by CITES Appendix III,Odontode,List of Latin and Greek words commonly used in systematic names"
Potamotrygon leopoldi,3,Xingu River ray,"Xingu River ray,Potamotrygon,Potamotrygonidae,Bigtooth river stingray,List of freshwater aquarium fish species,Clearwater river (river type),Animal attacks in Latin America,Potamotrygon rex,List of cartilaginous fish,List of organisms named after famous people (born 1900–1949)"
Balaenoptera physalus,2,Fin whale,"Fin whale,Balaenoptera,Northern fin whale,List of whale vocalizations,Rorqual,Blue whale,Southern fin whale,Sei whale,Cetaceans of the Caribbean,Bryde's whale"
Oryx leucoryx,2,Arabian oryx,"Arabian oryx,Oryx,Arabian oryx reintroduction,Scimitar oryx,Grazing antelope,Common eland,List of national animals,Yotvata Hai-Bar Nature Reserve,List of even-toed ungulates by population,East African oryx"
Cacatua goffiniana,2,Tanimbar corella,"Tanimbar corella,Cockatoo,Corella (bird),Cacatua,List of animals by number of neurons,List of species protected by CITES Appendix I,List of Psittaciformes by population,Goffin,List of birds of Indonesia,List of endemic birds of Indonesia"
Saguinus oedipus,2,Cotton-top tamarin,"Cotton-top tamarin,Tamarin,Callitrichidae,Zoomusicology,Mirror test,List of New World monkey species,Goose bumps,Primate cognition,Golden lion tamarin,Geoffroy's tamarin"
