Taxon,CommonName
Ornithoptera croesus,Golden birdwing
Ornithoptera paradisea,Paradise birdwing
Ornithoptera victoriae,Queen Victoria's birdwing
Trogonoptera brookiana,Rajah Brooke's birdwing
Troides aeacus,Golden birdwing
Troides andromache,Borneo birdwing
Troides cuneifera,Mountain birdwing
Troides plato,Silver birdwing
Cicinnurus regius,King bird-of-paradise
Mycedium spp.,Stony corals
Mycedium robokaki,Stony corals
Pectinia paeonia,Stony corals
Pavo muticus,Green peafowl
Phoenicopterus ruber,American flamingo
Pithecia pithecia,White-faced saki
Pocillopora damicornis,Pocillopora damicornis
Seriatopora hystrix,Seriatopora hystrix
Podocnemis erythrocephala,Red-headed Amazon River turtle
Alveopora gigas,Stony corals
Porites cylindrica,Stony corals
Porites lobata,Stony corals
Porites lutea,Stony corals
Agapornis taranta,Black-winged lovebird
Amazona ventralis,Hispaniolan amazon
Amazona xantholora,Yucatan amazon
Aratinga acuticaudata,Blue-crowned parakeet
Aratinga cactorum,Caatinga parakeet
Aratinga jandaya,Jandaya parakeet
Aratinga leucophthalma,White-eyed parakeet
Aratinga pertinax,Brown-throated parakeet
Brotogeris chrysoptera,Brotogeris
Coracopsis vasa,Greater vasa parrot
Cyanoramphus malherbi,Malherbe's parakeet
Forpus passerinus,Forpus
Lathamus discolor,Swift parrot
Nandayus nenday,Nanday parakeet
Neophema elegans,Elegant parrot
Nestor notabilis,Kea
Northiella haematogaster,Eastern bluebonnet
Pionus chalcopterus,Pionus
Pionus maximiliani,Pionus
Pionus senilis,Pionus
Platycercus caledonicus,Green rosella
Platycercus icterotis,Western rosella
Poicephalus robustus,Cape parrot
Psittacula calthorpae,Emerald-collared parakeet
Psittacula roseata,Blossom-headed parakeet
Purpureicephalus spurius,Red-capped parrot
Pyrrhura picta,Painted parakeet
Tanygnathus lucionensis,Blue-naped parrot
Antaresia childreni,Children's python
Antaresia stimsoni,Children's python
Leiopython hoserae,Leiopython fredparkeri
Liasis olivaceus,Olive python
Morelia boeleni,Simalia boeleni
Morelia carinata,Rough-scaled python
Morelia tracyae,Simalia tracyae
Python breitensteini,Borneo python
Python curtus,Sumatran short-tailed python
Python sebae,Central African rock python
Sagittarius serpentarius,Secretarybird
Psammocora spp.,Stony corals
Aegolius funereus,Boreal owl
Bubo lacteus,Verreaux's eagle-owl
Strix uralensis,Ural owl
Gracula religiosa,Common hill myna
Hippocampus abdominalis,Big-belly seahorse
Hippocampus erectus,Lined seahorse
Tapirus terrestris,South American tapir
Tupinambis spp.,Lizard
Homopus areolatus,Parrot-beaked tortoise
Kinixys natalensis,Natal hinge-back tortoise
Kinixys zombensis,Kinixys
Manouria impressa,Impressed tortoise
Psammobates oculifer,Psammobates
Brachypelma auratum,Brachypelma auratum
Brachypelma klaasi,Brachypelma klaasi
Brachypelma smithi,Brachypelma smithi
Brachypelma vagans,Tliltocatl vagans
Brachypelma verdezi,Tliltocatl verdezi
Poecilotheria fasciata,Tarantula
Poecilotheria smithi,Tarantula
Poecilotheria striata,Tarantula
Poecilotheria vittata,Tarantula
Eudocimus ruber,Scarlet ibis
Cyclanorbis senegalensis,Senegal flapshell turtle
Amazilia amazilia,Amazilia hummingbird
Calypte anna,Anna's hummingbird
Tupaia belangeri,Northern treeshrew
Tyto alba,Barn owl
Varanus indicus,Monitor lizard
Varanus jobiensis,Monitor lizard
Varanus kordensis,Monitor lizard
Varanus macraei,Monitor lizard
Varanus melinus,Quince monitor
Varanus mertensi,Mertens' water monitor
Varanus prasinus,Emerald tree monitor
Varanus primordius,Northern blunt-spined monitor
Varanus reisingeri,Monitor lizard
Varanus salvadorii,Komodo dragon
Varanus similis,Varanus similis
Varanus storri,Varanus storri
Varanus tristis,Black-headed monitor
Varanus yuwonoi,Monitor lizard
Pseudocerastes urarachnoides,Spider-tailed horned viper
Trimeresurus mangshanensis,Mangshan pit viper
Hemigalus derbyanus,Banded palm civet
Cuniculus paca,Lowland paca
Graptemys geographica,Northern map turtle
Graptemys hybrid,Pinta Island tortoise
Hyaena hyaena,Striped hyena
Proteles cristata,Aardwolf
Martes flavigula,Yellow-throated marten
Meleagris ocellata,Ocellated turkey
Potamotrygon spp.,Stingray
Potamotrygon hybrid,Stingray
Potamotrygon jabuti,Stingray
Potamotrygon magdalenae,Stingray
Potamotrygon orbignyi,Stingray
Pteroglossus castanotis,Chestnut-eared aracari
Ramphastos dicolorus,Ramphastos
Selenidera maculirostris,Spot-billed toucanet
Salamandra algira,Salamandra
Crotalus durissus,Black-tailed rattlesnake
Elaphe radiata,Radiated ratsnake
Homalopsis buccata,Water snake
Chrysemys picta,Painted turtle
Rhacodactylus auriculatus,Gargoyle gecko
Rhacodactylus ciliatus,Crested gecko
Liangshantriton taliangensis,Taliang knobby newt
